Frame,CoM_X,CoM_Y,L_Elbow,R_Elbow,Velocity
179,180.39854,1380.7922,112.639206,168.59128,5.361336
180,181.13126,1379.9464,82.03146,163.67172,7.4606867
181,180.72809,1379.8245,118.50558,168.46242,2.8080618
182,179.33916,1379.6388,90.90208,168.09749,9.341982
183,177.95038,1378.4521,82.96926,163.59453,12.178158
184,176.5819,1377.1716,76.72284,169.22084,12.494665
185,175.68842,1375.1305,73.05451,168.18904,14.854947
186,174.94247,1372.7848,85.24865,163.67303,16.409966
187,174.95804,1370.6747,87.0363,164.79901,14.067643
188,174.57793,1368.3395,102.69888,163.45439,15.772891
189,174.77097,1367.3102,92.60045,161.33382,6.9820538
190,176.07283,1365.88,91.57746,160.04611,12.893855
191,178.39629,1363.0128,48.466293,163.10983,24.602839
192,180.08269,1360.088,94.77933,161.91629,22.507877
193,182.3362,1357.1868,63.340706,159.84454,24.490774
194,184.90207,1354.3159,45.122658,157.6743,25.669512
195,187.46219,1352.0259,65.43245,156.14397,22.89937
196,189.26381,1350.729,59.729046,155.17885,14.799265
197,190.7196,1349.9033,67.38887,150.27794,11.157577
198,192.87796,1348.9576,56.68574,141.1857,15.709537
199,195.90182,1348.2239,59.6734,137.8939,20.744144
200,197.96976,1346.185,88.67389,131.80426,19.359875
201,200.4182,1343.3203,97.70366,129.28471,25.123697
202,202.9148,1339.9913,73.88891,131.59822,27.741007
203,205.0096,1337.1161,65.73268,130.3387,23.716333
204,207.28062,1334.7465,68.29503,129.22632,21.881306
205,209.59732,1333.0653,65.56676,116.35757,19.083035
206,211.8986,1332.2637,51.514507,113.186966,16.246164
207,213.8838,1331.6206,50.056988,109.692856,13.9117565
208,215.80814,1331.0841,43.05379,112.3428,13.318294
209,218.79652,1330.9077,6.7752366,117.46291,19.957256
210,221.19908,1331.04,9.871163,118.821976,16.04126
211,223.19847,1330.2418,10.213551,109.06914,14.352201
212,224.90656,1329.3191,25.383564,103.18805,12.9426365
213,227.23093,1327.8104,73.67343,99.502174,18.473967
214,229.93861,1326.3099,57.992504,101.826416,20.638044
215,232.18727,1323.4172,76.51498,91.61482,24.426558
216,234.83029,1319.2332,84.01845,98.42959,32.993305
217,237.59308,1315.3778,112.02139,102.26129,31.620958
218,239.68588,1311.5765,134.14107,101.647766,28.928709
219,242.53746,1309.8785,129.34615,93.386154,22.12577
220,245.34727,1308.2097,113.079285,85.81458,21.787077
221,248.74081,1306.9637,128.24722,89.197014,24.100359
222,251.32034,1306.0588,109.77099,78.16166,18.224346
223,253.02599,1305.6759,127.529396,79.98715,11.6540365
224,255.19733,1306.2231,105.89449,70.77976,14.928151
225,258.18588,1307.036,121.335754,69.28812,20.647432
226,261.7359,1307.5214,119.71941,71.961525,23.886854
227,265.73914,1308.3395,125.70282,74.13253,27.239683
228,267.70715,1307.5458,108.49692,64.242165,14.146985
229,270.59622,1304.7942,119.68481,69.60749,26.598093
230,273.19373,1302.1177,108.6082,68.23872,24.86506
231,275.41782,1299.9574,110.65625,68.75931,20.67015
232,277.81836,1297.1466,114.36405,66.79275,24.642971
233,280.59894,1295.0571,121.71348,68.1116,23.187828
234,283.5838,1290.8956,128.06528,74.40577,34.142056
235,285.62302,1288.1804,139.40306,74.39083,22.638226
236,287.07123,1286.6014,150.73555,77.36086,14.283789
237,289.1804,1284.0796,139.57991,78.18535,21.917316
238,290.00684,1286.2203,136.27737,73.33898,15.297929
239,290.48785,1288.2603,139.25482,73.25445,13.971506
240,291.0622,1289.9376,140.08896,72.756035,11.819742
241,291.46667,1290.8721,142.05824,73.03847,6.788292
242,292.15125,1291.4954,147.73656,74.78742,6.1717377
243,293.10736,1291.3154,145.98605,69.90314,6.4859443
244,294.53802,1287.4176,142.46837,77.96673,27.680687
245,296.60443,1282.8143,128.82414,69.026505,33.639027
246,298.58536,1282.075,117.985855,52.600574,14.096173
247,300.94962,1277.3107,105.08336,51.301018,35.45809
248,303.10022,1276.2351,110.77308,44.36743,16.030495
249,306.00452,1274.0859,102.77469,42.359417,24.086946
250,308.62335,1270.1353,75.84373,40.769276,31.599112
251,310.72314,1265.1552,75.300705,38.51571,36.031338
252,314.11673,1260.7806,67.6982,35.627666,36.910538
253,318.8574,1255.7831,147.4241,23.696083,45.922634
254,323.55472,1251.2218,99.65789,20.324,43.65017
255,327.76608,1246.2646,122.66115,18.141794,43.363598
256,332.7743,1241.4554,148.18123,7.82812,46.2895
257,338.71622,1237.1471,140.11354,5.0242186,48.9302
258,344.24033,1232.35,118.931274,3.4217744,48.775238
259,349.8966,1227.6078,149.61206,36.05744,49.208122
260,355.6195,1223.0427,167.42741,61.353973,48.80426
261,361.31784,1219.2825,157.07112,48.204712,45.51444
262,367.176,1216.0643,128.16283,38.559338,44.559273
263,373.6067,1213.1974,142.6064,62.979828,46.938812
264,380.53973,1210.2294,172.24553,84.01517,50.277466
265,387.7107,1207.1334,146.59464,93.141205,52.071507
266,395.24524,1204.509,169.84056,114.192154,53.190117
267,402.88104,1202.6788,175.87157,137.09613,52.34715
268,411.01685,1201.1606,178.24542,108.6089,55.17497
269,418.40674,1199.606,176.0241,82.3631,50.344387
